H,HP,セーブ,ボーク,三振,勝利,勝率,名前,四球,失点,安打,完封勝,完投,年度,所属球団,打者,投球回,敗北,暴投,本塁打,死球,無四球,登板,自責点,防御率
0,0,0,0,2,0,.000,薮田　和樹,5,2,3,0,0,2021,広島東洋,20,4,0,1,0,0,0,1,2,3.86
6,6,0,0,16,0,.000,中田　廉,12,14,20,0,0,2021,広島東洋,89,19,0,2,3,1,0,23,10,4.74
1,1,0,0,80,5,.556,床田　寛樹,24,32,91,1,1,2021,広島東洋,374,87,4,1,5,2,0,16,31,3.19
12,14,0,0,28,2,.500,ケムナ　誠,15,20,45,0,0,2021,広島東洋,175,39,2,2,4,2,0,40,20,4.58
2,2,1,0,14,0,.000,一岡　竜司,5,12,25,0,0,2020,広島東洋,81,17,1,0,2,1,0,19,12,6.23
0,0,0,0,54,5,.417,高橋　昂也,24,44,85,0,0,2021,広島東洋,326,73,7,1,9,2,0,15,43,5.28
17,22,0,0,29,5,.556,塹江　敦哉,25,25,48,0,0,2021,広島東洋,202,42,4,3,4,1,0,51,20,4.25
3,5,0,0,25,2,.667,菊池　保則,13,7,31,0,0,2021,広島東洋,140,31,1,0,3,3,0,33,6,1.71
0,0,0,0,6,0,.000,矢崎　拓也,7,9,7,0,0,2021,広島東洋,34,7,0,0,1,0,0,4,9,11.57
11,11,0,1,21,0,.000,Ｋ．バード,13,11,21,0,0,2021,広島東洋,98,21,0,0,0,2,0,33,11,4.57
15,15,0,0,51,0,.000,島内　颯太郎,14,20,44,0,0,2021,広島東洋,205,49,2,2,4,0,0,51,17,3.12
0,0,0,0,16,0,.000,高橋　樹也,10,10,20,0,0,2021,広島東洋,108,26,0,1,3,1,0,27,4,1.37
0,0,0,0,21,1,.250,山口　翔,13,14,25,0,0,2019,広島東洋,117,26,3,2,3,3,0,9,14,4.85
0,0,0,0,52,3,.375,アドゥワ　誠,27,52,101,0,1,2019,広島東洋,404,91,5,2,14,4,1,19,44,4.32
0,0,0,0,6,0,.000,小林　樹斗,2,6,6,0,0,2021,広島東洋,20,3,0,1,0,0,0,1,4,9.82
0,0,0,0,0,0,.000,田中　法彦,1,0,1,0,0,2020,広島東洋,8,2,0,0,0,0,0,2,0,0.00
0,0,0,0,7,0,.000,藤井　黎來,3,8,11,0,0,2021,広島東洋,32,5,0,0,1,1,0,5,8,12.71
1,1,0,0,4,0,.000,中村　恭平,8,1,7,0,0,2020,広島東洋,44,9,0,0,0,1,0,14,1,0.96
